date	bin	turnover	price
20170705	1	9068.0	593081.0699588477
20170705	2	11167.0	593873.5305877649
20170705	3	10182.0	595108.7750645225
20170705	4	17631.0	596096.4058612109
20170705	5	8852.0	597809.8746676794
20170705	6	15137.5	599592.2410922411
20170705	7	13739.0	599600.8265916286
20170705	8	11347.5	599583.056943057
20170705	9	10484.0	599194.7028637643
20170705	10	9666.5	599331.3326879638
20170705	11	11224.0	600050.7916402787
20170705	12	11383.5	600012.873067242
20170705	13	10855.0	599640.6231365533
20170705	14	6318.0	599054.0243693152
20170705	15	7660.5	598879.7091870456
20170705	16	5250.5	599177.7888050814
20170705	17	6365.0	598607.956338769
20170705	18	7761.0	598572.4316598178
20170705	19	10010.0	598600.7542220036
20170705	20	7355.0	598077.084349098
20170705	21	11756.0	598601.9427273874
20170705	22	10604.0	597876.4040234702
20170705	23	11195.0	597355.1220709116
20170705	24	14936.0	597970.7662082515
20170705	25	14013.0	597932.2914122915
20170705	26	30494.5	597793.6887053634
20170706	1	26700.0	594103.8397637069
20170706	2	6598.0	594008.4301236419
20170706	3	13749.5	593791.912168344
20170706	4	14904.0	593783.7519623234
20170706	5	12628.0	594580.2181818181
20170706	6	10583.5	595307.4521651561
20170706	7	15033.5	595881.6181229773
20170706	8	12048.0	596551.1388053288
20170706	9	6538.5	596206.4246823956
20170706	10	10437.0	596725.0411861615
20170706	11	5238.0	595961.9614882506
20170706	12	9407.0	593786.8413475382
20170706	13	10280.0	593825.4854039375
20170706	14	8291.0	593998.746617291
20170706	15	5462.5	593942.4320352682
20170706	16	6362.0	594272.0547093565
20170706	17	4217.0	593826.3826491092
20170706	18	4405.5	592928.6308780691
20170706	19	11097.5	592999.6983606557
20170706	20	7640.5	592441.737012987
20170706	21	12802.5	592450.3164148263
20170706	22	7556.0	592974.0989536236
20170706	23	10875.0	592866.1607778041
20170706	24	11533.0	592268.9324766091
20170706	25	19355.5	591727.6173285198
20170706	26	41096.5	591826.0781585936
20170707	1	4706.5	595501.2921089063
20170707	2	8108.5	598855.2977571539
20170707	3	10713.5	600130.4392871944
20170707	4	6568.0	599775.1804025826
20170707	5	9282.5	599232.7051367578
20170707	6	8622.0	599847.3542458809
20170707	7	12852.0	598153.9617991374
20170707	8	9899.5	598777.509227289
20170707	9	6371.0	598812.475307704
20170707	10	6294.5	598679.2634107285
20170707	11	5600.5	599095.9728033473
20170707	12	7260.0	599258.6134453781
20170707	13	8222.0	599564.2018196856
20170707	14	7205.5	599786.6045428072
20170707	15	6554.0	599511.0628478349
20170707	16	9652.0	598774.2984162268
20170707	17	10829.0	598144.2769665568
20170707	18	6927.5	597085.9444048468
20170707	19	4858.0	597559.4382756369
20170707	20	5590.0	597437.4700034282
20170707	21	8227.5	597272.0314033366
20170707	22	6484.0	597130.5717342208
20170707	23	5342.5	596526.9332161687
20170707	24	7276.5	596654.1232112539
20170707	25	8191.5	596587.8654422789
20170707	26	20442.5	596763.531200782
20170710	1	11477.5	596560.7777244359
20170710	2	7241.0	596843.5536566976
20170710	3	7010.0	597150.0871459695
20170710	4	8963.5	599053.3284023668
20170710	5	10763.5	598831.4446227929
20170710	6	8303.5	599145.6038316798
20170710	7	13141.5	599610.3175936817
20170710	8	6808.5	599576.7290367291
20170710	9	9185.5	599746.8985119545
20170710	10	4722.5	599774.5630240159
20170710	11	8965.5	599527.1740471198
20170710	12	7212.5	599203.7074969275
20170710	13	9927.0	598772.8424292648
20170710	14	5893.5	598960.2357984994
20170710	15	6226.0	599321.8257839722
20170710	16	7128.5	599258.8143828961
20170710	17	9901.0	599715.2061495457
20170710	18	6614.0	599033.9510911284
20170710	19	7801.5	598754.2853375528
20170710	20	8351.5	598605.080740449
20170710	21	7890.5	598952.994772218
20170710	22	5238.0	599196.5662575926
20170710	23	6596.0	599189.5430485038
20170710	24	17269.5	599158.6140053307
20170710	25	8171.0	599731.7467444993
20170710	26	14361.5	599266.0519194147
20170711	1	6900.0	598714.2421159715
20170711	2	11583.5	600040.285629277
20170711	3	12267.5	600101.6393442623
20170711	4	12741.0	600748.5560377076
20170711	5	12750.5	600969.1877152699
20170711	6	7229.0	599897.7814824313
20170711	7	11572.5	598671.0451170759
20170711	8	8201.0	597498.5046728972
20170711	9	4583.0	597874.7711267605
20170711	10	10708.0	597882.0454866507
20170711	11	6329.0	596002.2937710438
20170711	12	6133.0	594863.7296037296
20170711	13	6488.0	595034.855163728
20170711	14	8549.5	595887.2364672364
20170711	15	11206.0	595024.6097076356
20170711	16	6642.5	595325.8635358176
20170711	17	8646.5	595795.9230880439
20170711	18	7524.5	597072.9487351091
20170711	19	12602.5	596862.928804409
20170711	20	16536.0	596596.7457305503
20170711	21	10442.0	596564.7505810835
20170711	22	15046.5	597060.0843019543
20170711	23	9791.0	597468.3513964151
20170711	24	7262.5	598210.7644305772
20170711	25	21936.5	598018.3750836245
20170711	26	37613.0	598370.9588481568
20170712	1	19677.5	605440.2914210871
20170712	2	6821.5	607233.0834340991
20170712	3	9511.5	606294.0945694817
20170712	4	6987.5	606992.6478329531
20170712	5	7323.5	605597.7185544114
20170712	6	9208.5	605992.0240480962
20170712	7	9584.5	607904.7137029762
20170712	8	5758.5	608420.6405148637
20170712	9	8549.5	608242.2743498215
20170712	10	10845.0	608686.0553633218
20170712	11	9605.0	609109.4941348974
20170712	12	8438.0	608516.1693615603
20170712	13	5833.0	608523.8575667656
20170712	14	11940.0	607949.3148551853
20170712	15	7461.0	608002.978080121
20170712	16	8307.0	608268.7185025198
20170712	17	11183.0	608286.0792412421
20170712	18	6861.0	608745.5189118688
20170712	19	12235.5	609262.6244010321
20170712	20	10801.5	609371.8563667682
20170712	21	17206.0	608846.5078252745
20170712	22	13064.5	608697.1540983607
20170712	23	16595.0	609359.0016560209
